GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,YrSold
1342,219500,120,RL,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,4,3,PConc,4,3,1,6,24.0,1,0.0,1318.0,1342.0,GasA,5,Y,1342,0,0,0.0,0.0,2,0,2,1,4,6,1,Attchd,2,2.0,550.0,0,35,0,0,0,2,2008
1274,136000,60,RL,10475,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,3,458.0,1,0.0,166.0,624.0,GasA,4,Y,624,650,0,0.0,0.0,1,1,3,1,3,6,0,Detchd,1,2.0,576.0,22,0,0,0,0,3,2010
861,80000,30,RM,7404,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,861.0,861.0,GasA,3,Y,861,0,0,0.0,0.0,1,0,2,1,3,5,0,Detchd,1,2.0,288.0,0,0,128,0,0,11,2009
1394,159000,20,RL,9500,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,3,3,CBlock,4,3,1,4,609.0,1,0.0,785.0,1394.0,GasA,4,Y,1394,0,0,1.0,0.0,1,1,3,1,3,6,2,Attchd,2,2.0,514.0,0,76,0,0,185,7,2009
1536,214000,20,RL,9135,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,4,3,PConc,4,3,3,6,810.0,1,0.0,726.0,1536.0,GasA,5,Y,1536,0,0,1.0,0.0,2,0,3,1,4,7,0,Attchd,2,2.0,532.0,192,74,0,0,0,12,2008
1680,163000,60,RL,8480,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4,3,1,6,602.0,1,0.0,284.0,886.0,GasA,5,Y,886,794,0,0.0,1.0,2,1,3,1,4,7,0,Attchd,2,2.0,474.0,144,96,0,0,0,10,2008
1274,203000,20,RL,8814,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,4,3,PConc,4,3,1,6,925.0,1,0.0,349.0,1274.0,GasA,5,Y,1274,0,0,1.0,0.0,2,0,3,1,4,6,0,Attchd,2,2.0,508.0,264,98,0,0,0,1,2007
864,67000,30,RL,8248,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,1,4,41.0,1,0.0,823.0,864.0,GasA,3,N,864,0,0,1.0,0.0,1,0,2,1,3,5,0,0,0,0.0,0.0,0,0,100,0,0,9,2008
1610,205000,20,RL,10603,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,3,3,PConc,3,3,2,5,1200.0,1,0.0,410.0,1610.0,GasA,4,Y,1610,0,0,1.0,0.0,2,0,3,1,4,6,2,Attchd,2,2.0,480.0,168,68,0,0,0,2,2010
1091,131250,80,RL,7706,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,3,3,114.0,6,270.0,0.0,384.0,GasA,5,Y,1091,0,0,0.0,1.0,1,0,2,1,3,5,0,Attchd,3,1.0,429.0,280,0,0,0,0,8,2009
1486,181000,20,RL,7441,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1461.0,1461.0,GasA,5,Y,1486,0,0,0.0,0.0,2,0,3,1,4,7,0,Attchd,2,2.0,566.0,0,32,0,0,0,6,2007
789,115000,20,RM,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,5,104.0,4,169.0,516.0,789.0,GasA,5,Y,789,0,0,0.0,0.0,1,0,2,1,3,5,0,Detchd,1,1.0,250.0,0,0,0,0,0,4,2008
1092,98000,160,RM,1477,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,1,6,358.0,1,0.0,188.0,546.0,GasA,5,Y,546,546,0,0.0,0.0,2,1,3,1,3,6,0,0,0,0.0,0.0,187,0,0,0,0,3,2008
2640,265979,70,RM,11700,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,4,3,Stone,3,2,1,1,0.0,1,0.0,1240.0,1240.0,GasW,3,N,1320,1320,0,0.0,0.0,1,1,4,1,4,8,1,Detchd,1,4.0,864.0,181,0,386,0,0,5,2009
1092,105500,160,RM,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,3,Y,525,567,0,0.0,0.0,1,1,3,1,3,6,0,Detchd,1,1.0,320.0,0,0,0,0,0,3,2010
1458,168165,60,RL,13204,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,3,3,PConc,4,3,1,1,0.0,1,0.0,608.0,608.0,GasA,5,Y,608,850,0,0.0,0.0,2,0,3,1,4,6,0,BuiltIn,3,2.0,454.0,100,33,0,0,0,5,2007
1466,201000,20,RL,8925,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,16.0,1,0.0,1450.0,1466.0,GasA,5,Y,1466,0,0,0.0,0.0,2,0,3,1,4,7,0,Attchd,3,3.0,610.0,100,18,0,0,0,7,2009
1573,177500,160,FV,2117,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,4,3,PConc,4,3,1,6,378.0,1,0.0,378.0,756.0,GasA,5,Y,769,804,0,0.0,0.0,2,1,3,1,4,5,0,Detchd,1,2.0,440.0,0,32,0,0,0,6,2010
2090,200000,60,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,Y,1107,983,0,1.0,0.0,2,1,3,1,3,7,2,Attchd,2,2.0,484.0,235,204,228,0,0,11,2009
2046,450000,20,RL,15431,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,3,PConc,5,3,4,6,1430.0,1,0.0,564.0,1994.0,GasA,5,Y,2046,0,0,1.0,0.0,2,1,2,1,5,7,2,Attchd,3,3.0,878.0,188,65,0,0,175,8,2007
886,91300,30,RM,5784,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,190.0,190.0,GasA,4,Y,886,0,0,0.0,0.0,1,0,2,1,3,4,0,Attchd,1,1.0,273.0,144,20,80,0,0,12,2009
1258,173500,20,RL,7697,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1246.0,1246.0,GasA,5,Y,1258,0,0,0.0,0.0,2,0,3,1,4,6,0,Attchd,2,2.0,462.0,0,0,0,0,0,8,2007
1324,199500,20,RL,18494,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1324.0,1324.0,GasA,5,Y,1324,0,0,0.0,0.0,2,0,3,1,4,6,0,Attchd,3,2.0,430.0,36,23,0,0,0,1,2010
1848,207000,50,RL,13053,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,833.0,833.0,GasA,4,Y,1053,795,0,0.0,0.0,1,1,4,1,4,8,1,Detchd,1,2.0,370.0,0,0,0,0,220,6,2008
1269,155000,20,RL,7931,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,374.0,2,532.0,363.0,1269.0,GasA,3,Y,1269,0,0,0.0,0.0,1,1,3,1,3,6,1,Detchd,1,1.0,308.0,0,0,0,0,0,6,2008
1346,220000,20,RL,11896,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,4,3,PConc,4,3,1,6,78.0,1,0.0,1258.0,1336.0,GasA,5,Y,1346,0,0,1.0,0.0,2,0,3,1,4,6,1,Attchd,3,3.0,660.0,100,48,0,0,0,5,2010
1749,196000,60,RL,9272,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,500.0,1,0.0,342.0,842.0,GasA,5,Y,856,893,0,0.0,0.0,2,1,3,1,4,7,0,Attchd,2,2.0,515.0,140,85,0,0,0,6,2006
492,61500,30,RM,7830,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,2,3,1,2,416.0,1,0.0,76.0,492.0,GasA,3,Y,492,0,0,1.0,0.0,1,0,1,1,3,3,0,Detchd,1,1.0,200.0,0,0,78,0,0,6,2006
2030,195000,60,RL,12046,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,3,3,CBlock,3,3,1,2,156.0,1,0.0,692.0,848.0,GasA,3,Y,1118,912,0,0.0,0.0,2,1,4,1,4,8,1,Attchd,3,2.0,551.0,0,224,0,0,0,6,2007
988,129250,20,RL,7150,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,3,3,CBlock,3,3,1,4,725.0,1,0.0,263.0,988.0,GasA,3,Y,988,0,0,1.0,0.0,1,0,3,1,3,5,0,Detchd,1,1.0,360.0,0,0,0,0,0,11,2007
2172,291000,60,RL,11000,Pave,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,4,3,PConc,5,3,2,1,0.0,1,0.0,1519.0,1519.0,GasA,5,Y,1533,639,0,0.0,0.0,2,1,4,1,5,8,1,BuiltIn,2,3.0,687.0,162,153,0,0,0,6,2008
1080,134000,20,RL,9187,Pave,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,3,3,1,5,336.0,1,0.0,748.0,1084.0,GasA,3,Y,1080,0,0,0.0,0.0,1,1,3,1,3,5,0,Attchd,1,2.0,484.0,120,0,158,0,0,6,2007
1312,186000,20,RL,11355,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,3,3,CBlock,3,3,1,4,637.0,1,0.0,675.0,1312.0,GasA,5,Y,1312,0,0,0.0,0.0,1,1,3,1,3,6,1,Attchd,2,2.0,495.0,0,304,144,0,0,4,2008
925,133500,20,RL,8638,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,3,3,1,5,181.0,1,0.0,744.0,925.0,GasA,4,Y,925,0,0,1.0,0.0,1,0,2,1,3,5,0,Detchd,1,2.0,484.0,203,74,0,0,0,10,2006
1534,148000,70,RL,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,None,0.0,3,4,CBlock,4,3,3,1,0.0,1,0.0,736.0,736.0,GasA,5,Y,751,783,0,0.0,0.0,1,1,3,1,4,6,0,0,0,0.0,0.0,0,112,0,0,0,7,2007
2376,325300,60,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,5,Y,1158,1218,0,0.0,0.0,3,1,4,1,4,9,1,BuiltIn,2,3.0,853.0,240,154,0,0,0,11,2006
1959,215000,60,RL,11796,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,1,0.0,1,0.0,847.0,847.0,GasA,5,Y,847,1112,0,0.0,0.0,2,1,4,1,4,8,1,BuiltIn,3,2.0,434.0,100,48,0,0,0,7,2007
1716,131000,50,RL,11409,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,292.0,1,0.0,476.0,768.0,GasA,4,Y,1148,568,0,0.0,0.0,1,1,3,1,3,8,1,Attchd,1,1.0,281.0,0,0,0,0,160,1,2009
936,109500,30,RM,4485,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,4,579.0,1,0.0,357.0,936.0,GasA,3,Y,936,0,0,1.0,0.0,1,0,2,1,3,5,1,0,0,0.0,0.0,51,0,135,0,0,5,2010
1230,110000,50,RM,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,440.0,440.0,GasA,4,Y,682,548,0,0.0,0.0,1,1,2,1,3,5,0,Detchd,1,2.0,440.0,74,0,128,0,0,5,2009
2592,150000,90,RL,10890,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,5,6,1923,1950,Hip,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,3,3,2,3,371.0,1,0.0,925.0,1296.0,Grav,2,N,1296,1296,0,2.0,0.0,2,0,6,2,3,12,0,0,0,0.0,0.0,0,742,240,0,0,1,2007
1565,193800,120,FV,3784,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,4,3,PConc,4,3,1,6,60.0,1,0.0,1451.0,1511.0,GasA,5,Y,1565,0,0,1.0,0.0,2,0,2,1,4,5,0,Attchd,3,2.0,476.0,0,120,0,0,0,2,2007
1868,178000,80,RL,12090,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,6,7,1984,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,74.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,585.0,585.0,GasA,5,Y,1140,728,0,0.0,0.0,3,1,3,1,3,7,1,BuiltIn,3,2.0,477.0,268,112,0,0,147,1,2007
1422,179600,20,RL,8500,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,106.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1422.0,1422.0,GasA,5,Y,1422,0,0,0.0,0.0,2,0,3,1,4,7,0,Attchd,2,2.0,626.0,192,60,0,0,0,11,2007
1200,179000,90,RL,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,4,4,6,1200.0,1,0.0,0.0,1200.0,GasA,3,Y,1200,0,0,3.0,0.0,3,0,3,1,3,5,0,0,0,0.0,0.0,120,0,0,0,0,3,2009
1641,140000,50,RL,10759,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,4,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,1,2,190.0,5,811.0,0.0,1001.0,GasA,3,Y,1001,640,0,0.0,0.0,2,0,4,1,3,5,1,Detchd,1,2.0,490.0,0,0,92,0,0,7,2008
1973,395000,20,RL,14226,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,375.0,4,3,PConc,4,3,3,1,0.0,1,0.0,1935.0,1935.0,GasA,4,Y,1973,0,0,0.0,0.0,2,0,3,1,4,9,1,Attchd,3,3.0,895.0,315,45,0,0,0,7,2007
1248,151500,20,RL,10800,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,88.0,3,3,CBlock,3,3,1,5,632.0,1,0.0,616.0,1248.0,GasA,5,Y,1248,0,0,1.0,0.0,1,0,3,1,3,6,0,Attchd,1,1.0,286.0,0,0,0,0,0,5,2006
2418,341000,60,RL,10542,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,651.0,4,3,PConc,4,3,4,6,1173.0,1,0.0,138.0,1311.0,GasA,5,Y,1325,1093,0,1.0,0.0,2,1,3,1,4,9,1,Attchd,2,3.0,983.0,250,154,216,0,0,8,2008
1755,235000,60,RL,11949,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,8,1991,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,4,PConc,4,3,1,6,601.0,5,216.0,158.0,975.0,GasA,5,Y,975,780,0,0.0,1.0,2,1,3,1,4,7,1,Attchd,1,2.0,524.0,502,60,0,0,0,7,2009
672,72000,30,RM,8534,Pave,Reg,Low,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,4,4,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,432.0,432.0,GasA,3,N,672,0,0,0.0,0.0,1,0,2,1,3,4,0,0,0,0.0,0.0,0,0,112,0,0,6,2006
1626,154000,50,RL,10512,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,6,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,491.0,1,0.0,497.0,988.0,GasA,5,Y,988,638,0,0.0,0.0,1,1,3,1,4,6,0,Attchd,1,1.0,332.0,366,0,0,0,0,5,2007
1726,222000,120,FV,3830,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,6,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,280.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1726.0,1726.0,GasA,5,Y,1726,0,0,0.0,0.0,2,1,2,1,4,6,1,Attchd,3,2.0,561.0,0,254,0,0,0,1,2009
